1-Repeat:	F1: 0.5323954797576844	Precision: 0.5158101807964575	Recall: 0.5546642899584076
2-Repeat:	F1: 0.5416040116056917	Precision: 0.5254932051608933	Recall: 0.565359477124183
3-Repeat:	F1: 0.5301216368884365	Precision: 0.5135618163959812	Recall: 0.5561497326203209
4-Repeat:	F1: 0.518991526506896	Precision: 0.5062302900289085	Recall: 0.5383244206773619
5-Repeat:	F1: 0.5454751985375194	Precision: 0.5305649649406877	Recall: 0.5692216280451574
6-Repeat:	F1: 0.5349244473343744	Precision: 0.5244619429181715	Recall: 0.5537730243612596
7-Repeat:	F1: 0.5250935678080982	Precision: 0.5154913280752177	Recall: 0.5448603683897801
8-Repeat:	F1: 0.5340818105339085	Precision: 0.5152606132565841	Recall: 0.5609031491384433
9-Repeat:	F1: 0.5258195131514622	Precision: 0.5128204969174717	Recall: 0.5484254307783719
10-Repeat:	F1: 0.5318202915381454	Precision: 0.5154862634696589	Recall: 0.5600118835412953

Avg. 10 Repeat F1-score: 0.53203	Precision: 0.51752	Recall: 0.55517
